YEAR,AUTOR,TITLE,TUTORS
2015,José Francisco Muñoz Fortes,Cartelería digital basada en Raspeberry Pi,Enrique Márquez Segura
2015,Rocío Duarte Gallardo,Herramienta docente en Android para el estudio de Ingeniería Electromagnética,Enrique Márquez Segura
2015,Diego Rodríguez Flores,Diseño e implementación de un sistema de conmutación empotrado basado en Arduino,Enrique Márquez Segura
2015,Anas Oudghiri,Herramienta docente en android para el aprendizaje en circuitos y sistemas,Enrique Márquez Segura
2015,Mario Pérez Escribano,Desarrollo de efectos digitales en tiempo real para instrumentos musicales,Enrique Márquez Segura
2015,Guillermo Orellana Ruiz,Herramienta Android para medición de ruido ambiental y su representación geolocalizada,Enrique Márquez Segura
2015,Carlos Castillo Villalta,Diseño de una antena de banda ancha para un sistema RFID sin CHIP,Enrique Márquez Segura
2015,Fernando Meca Gómez,Visualización de correcciones ionosféricas con egnos para posicionamiento por satélite,Teresa M. Martín Guerrero
2015,Felipe Baena Sánchez,Simulación de sistemas GNSS,Teresa M. Martín Guerrero
2015,Rocío Rodríguez Cano,Antena en tecnología microstrip,Carlos Camacho Peñalosa
2015,Antonio Jesús Solano Arana,Diseño y construcción de una antena de bocina piramidal,Carlos Camacho Peñalosa
2015,Ismael Gamarro Castaño,Medidas SAR para certificación,Carlos Camacho Peñalosa
2016,Manuel Pérez Calvillo,Plataforma de generación de páginas web para entornos embebidos,Enrique Márquez Segura
2016,Emilio de Lizaur Pina,Plataforma de generación de páginas web para entornos embebidos ,Enrique Márquez Segura
2016,Luis Javier Reina Marfil,Desarrollo de un módulo del Kernel encargado de transerencia de pulsos radar sobre Linux,Enrique Márquez Segura
2016,Luis Vallejo Castro,Antena Microstrip,"Elena Abdo Sánchez, Juana Daphne Baños Polglase"
2016,Andrés David Aguilar Aguilar,Propagación ionosférica en señales de sistemas GNSS,Teresa M. Martín Guerrero
2016,Natalia Domínguez Corbacho,Aplicación Java para comunicación con receptores GPS,Teresa M. Martín Guerrero
2016,Salvador Díaz Burgos,Estudio y diseño de un divisor de potencia Wilkinson asimétrico en banda dual,Carlos Camacho Peñalosa
2016,Alejandro Sánchez Gómez,Análisis y diseño de un amplificador de banda ancha realimentado,Carlos Camacho Peñalosa
2017,Carmen Delgado Eslava,Diseño y fabricación de dispositivos pasivos de microondas en tenología Microstrip,Enrique Márquez Segura
2017,Eduardo Gea Castillo,Herramienta MATLAB para la simulación de estructuras multiconductoras para Chipless-RFID,Enrique Márquez Segura
2017,Yolanda Podadera Domínguez,Calibración de un sistema de pruebas IEEE 802.11AC,Enrique Márquez Segura
2017,Flores Fernández Martos,Diseño de una matriz de conmutación basada en MEMS SPDT ,Enrique Márquez Segura
2017,José Pablo Luque Gómez,Análisis de etiquetas RFID sin chip para aplicaciones de logística,Enrique Márquez Segura
2017,Alejandro Serrano Serrano,Diseño Front-End Radio Receptor Estación Base LTE,Enrique Márquez Segura
2017,Pablo Beffa Bandera,Análisis y simulacion de sistemas radar de onda continua,Teresa M. Martín Guerrero
