Years,Awards,Awardee
2009,Mejor contribución de joven investigador en Metamateriales,Francisco Javier Mata Contreras
2009,3º Puesto en el Premio a la innovación Educativa en la UMA,Francisco Javier Mata Contreras
2014,"IV Premio Andalucía de Investigación ""Juan López de Peñalver""",Carlos Camacho Peñalosa
2014,Premio Jóvenes Científicos URSI 2014,Elena Abdo Sánchez
2014,Premio extraordinario fin de estudios by the University of Malaga for the highest-grade point average among the Telecommunication Technologies Engineering graduates of 2014,Alberto Hernández Escobar
2015,Premio a mejor expediente del Grado en Ingeniería de Sonido e Imagen,Mario Pérez Escribano
2016,Premio Airbus Defence and Space a la Mejor Tesis Doctoral en Antenas Activas para Satélites de Comunicaciones,Elena Abdo Sánchez
2018,III edición Premios Evolución,Grupo de Investigación en Ingeniería de Comunicaciones de la UMA
2018,Premio extraordinario mejor expediente del Grado en Ingeniería de Sistema de Telecomunicación,Aarón García Luque
2018,Premio al mejor trabajo fin de grado en el Grado de Ingeniería de Sistema de Telecomunicación,Aarón García Luque
2018,Premio al segundo mejor TFG de Andalucía COITT,Aarón García Luque
2019,Premio a la mejor trayectoria académica en el ámbito de las telecomunicaciones del COIT,Aarón García Luque
2019,Premio mejor TFM Máster Acústica,Mario Pérez Escribano
2019,"Margarita Salas a la ""Mejor iniciativa del profesorado""",Teresa M. Martín Guerrero
2020,URSI Young Researchers Secondary Award by the International Union of Radio Science "Broadband determination of the propagation constant of the slot mode of a rectangular waveguide",Alberto Hernández Escobar
2021,Carlomagno en la rama de Ingeniería y Arquitectura,Carlos Camacho Peñalosa
2021,Ganador del EUMA Intership Award 2021,Aarón García Luque
2022,"I Edición de los Premios ""Trabajos Fin de Estudios y Transferencia al Tejido Industrial""",Pablo Mateos Ruiz
2022,Premio extraordinario mejor Tesis Doctoral UMA 2022,Mario Pérez Escribano
2023,Tercer premio del Tom Brazil Award de la EuMIC 2023 ,Aarón García Luque
2023,Finalista al Best Student Paper Award del INMMiC 2023,Aarón García Luque
2024,Premio mejor paper de Baja Observabilidad URSI 2024,Mario Pérez Escribano
2024,Tercer premio mejor paper científico jóvenes investigadores URSI 2024,Mario Pérez Escribano
