Publications,Descriptions
2025,"I. Parellada-Serrano, M. Pérez-Escribano, A. Biedma-Pérez, Á. Palomares-Caballero, C. Molero, M. García-Vigueras and P. Padilla
Metal-Only 3D Reflectarray with Dual-Band Operation 
IEEE Transactions on Antennas and Propagation [Under Review]"
2025,"S. Moreno-Rodríguez, M. Pérez-Escribano, S. Ortiz-Ruiz, Á. Palomares-Caballero, F. G. Ruiz and C. Molero 
Broadband Absorber Made of Laser Induced Graphene Frequency Selective Surface
IEEE Transactions on Antennas and Propagation [Under Review]."
2025,"A. García-Luque, F. J. Mata-Contreras, and T. M. Martín-Guerrero
Analysis Formulation, and Implementation of a Nonlinear Equivalent Circuit for High-Frequency Semiconductor Diodes
IEEE Microwave Magazine, vol. 26, pp. 25-41, 2025, DOI: 10.1109/MMM.2024.3474348"
2025,"A. García-Luque, F. J. Mata-Contreras, and T. M. Martín-Guerrero
Nonquasi-static Relaxation-Time Characterization in a Varactor-Based Voltage-Controlled Oscillator (VCO)
IEEE Microwave and Wireless Technology Letters, vol. XX, pp. XX-XX, 2025, 
DOI: XXXXXXXX. [To be Submitted]"
2025,"A. Fernández-Garrido, M. Campo-Valera, E. Abdo-Sanchez, R. Pico,A-J. Garcia-Sanchez, R. Asorey-Cacheda
Parametric Study and Experimental Validation of Acoustic Leaky Wave Antenna in Spatial Localization
IEEE Access, 13, 10371-10385
https://doi.org/10.1109/ACCESS.2025.3528081"
2024,"I. Parellada-Serrano, M. Pérez-Escribano, C. Molero, P. Padilla and V. De la Rubia
Three-Dimensional Fully Metallic Dual Polarization Frequency Selective Surface Design Using Coupled-Resonator Circuit Information
IEEE Transactions on Antennas and Propagation, 2024 
doi: 10.1109/TAP.2024.3350192"
2024,"C. Segura-Gómez, M. Pérez-Escribano, A. Biedma-Pérez, Á. Palomares-Caballero and P. Padilla
Contactless AF-SIW Phase Shifters Based on Periodic Structures at mmWaves
AEU - International Journal of Electronics and Communications, Volume 179, 2024, Art no. 155320, ISSN 1434-8411
doi: 10.1016/j.aeue.2024.155320"
2024,"M. Pérez-Escribano, Á. Palomares-Caballero, P. Padilla and J.F. Valenzuela-Valdés, E. Márquez-Segura
Broadband Parasitic Modeling of Diodes in the Millimeter-Wave Band
AEU - International Journal of Electronics and Communications, Volume 177, 2024, Art no. 155216, ISSN 1434-8411
doi: 10.1016/j.aeue.2024.155216"
2024,"P. Mateos-Ruiz, M. Pérez-Escribano, A. Hernández-Escobar, E. Abdo-Sánchez, T. M. Martín-Guerrero and C. Camacho-Peñalosa
Time-Domain Characterization of Nematic Liquid Crystals Using Additive Manufacturing Microstrip Lines
IEEE Transactions on Instrumentation and Measurement, vol. 73, pp. 1-8, 2024, Art no. 6006908
doi: 10.1109/TIM.2024.3413162"
2024,"M.M. Ali, E. Márquez-Segura, T.A. Oleiwi
Hilbert-pair shaped resonator for Ku-Band applications
AEU - International Journal of Electronics and Communications, Vol. 177
DOI:10.11159/EEE24.106"
