YEAR,AUTOR,TITLE,TUTORS
2019,Carlos Álvarez Merino,Partial ambiguity resolution for multi-gnss precise positioning applications,Teresa M. Martín Guerrero
2020,Aarón García Luque,Extracción automática de Modelos Nolineales en gran señal para diodos mediante el operador NFS,Teresa M. Martín Guerrero
2021,Lorena Pérez Aguilar,Identificación de medios de transporte urbano basado en AI y estimación de la velocidad con magnetómetros para movilidad multimodal,"Teresa M. Martín Guerrero, Elena Abdo Sánchez"
2021,Pablo Mateos Ruiz,Integración INS/GNSS en tiempo real con IMU de bajo coste y receptor con sistema de antenas multi-elemento,"Carlos Camacho Peñalosa, Elena Abdo Sánchez"
2022,Francisco José Martín Bayona,Diseño de antena en espiral con fabricación aditiva para aplicaciones de ultra-wide band (UWB),"Enrique Márquez Segura, Mario Pérez Escribano"
2023,Rafael Oliva González,Modelado dinámico del Error Multicamino en GNSS para Aviación Civil,"Teresa M. Martín Guerrero, Omar García Crespillo"
2024,Julio Cruz Sánchez Paredes,Análisis de estructuras electromagnéticas para La banda de 27 GHZ,Enrique Márquez Segura
2025,Daniel Tejero Cotrina,Estudio y simulación de antena de parche modulada en el tiempo,Elena Abdo Sánchez
2025,Ignacio Ríos Gómez,Diseño de un sistema de sonido con control de directividad basado en tecnología Holoplot aplicado a una mezcla ambisónica,Mario Pérez Escribano
2025,Benito Antonio Martín Rubio,Análisis de un filtro no recíproco basado en varactores: Modelado Simulación y Montaje,"Elena Abdo Sánchez, Teresa M. Martín Guerrero"




